entry_id,line,section,subsection,group,venue_label,title,paper_url,code_labeled_url,primary_key,normalized_title,code_label_points_to_paper,verification
R0020,168,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ICLR 2024,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",https://arxiv.org/abs/2310.11511,https://github.com/AkariAsai/self-rag,arxiv:2310.11511,selfraglearningtoretrievegenerateandcritiquethroughselfreflection,False,catalog_only
R0021,169,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,NeurIPS 2023,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/abs/2302.04761,,arxiv:2302.04761,toolformerlanguagemodelscanteachthemselvestousetools,False,catalog_only
R0022,170,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,NeurIPS 2024,Gorilla: Large Language Model Connected with Massive APIs,https://arxiv.org/abs/2305.15334,https://github.com/ShishirPatil/gorilla,arxiv:2305.15334,gorillalargelanguagemodelconnectedwithmassiveapis,False,catalog_only
R0023,171,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ICLR 2024,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,https://arxiv.org/abs/2307.16789,https://github.com/OpenBMB/ToolBench,arxiv:2307.16789,toolllmfacilitatinglargelanguagemodelstomaster16000realworldapis,False,catalog_only
R0024,172,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2021,WebGPT: Browser-assisted Question-answering with Human Feedback,https://arxiv.org/abs/2112.09332,,arxiv:2112.09332,webgptbrowserassistedquestionansweringwithhumanfeedback,False,catalog_only
R0025,173,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,NeurIPS 2023,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,https://arxiv.org/abs/2303.17580,https://github.com/microsoft/JARVIS,arxiv:2303.17580,hugginggptsolvingaitaskswithchatgptanditsfriendsinhuggingface,False,catalog_only
R0026,174,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,NeurIPS 2022,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,https://arxiv.org/abs/2205.14135,https://github.com/Dao-AILab/flash-attention,arxiv:2205.14135,flashattentionfastandmemoryefficientexactattentionwithioawareness,False,catalog_only
R0027,175,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,TACL 2024,Lost in the Middle: How Language Models Use Long Contexts,https://arxiv.org/abs/2307.03172,,arxiv:2307.03172,lostinthemiddlehowlanguagemodelsuselongcontexts,False,catalog_only
R0028,176,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2023,MemGPT: Towards LLMs as Operating Systems,https://arxiv.org/abs/2310.08560,https://github.com/letta-ai/letta,arxiv:2310.08560,memgpttowardsllmsasoperatingsystems,False,catalog_only
R0029,177,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,UIST 2023,Generative Agents: Interactive Simulacra of Human Behavior,https://arxiv.org/abs/2304.03442,https://github.com/joonspk-research/generative_agents,arxiv:2304.03442,generativeagentsinteractivesimulacraofhumanbehavior,False,catalog_only
R0030,178,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,EMNLP 2023,LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models,https://arxiv.org/abs/2310.05736,https://github.com/microsoft/LLMLingua,arxiv:2310.05736,llmlinguacompressingpromptsforacceleratedinferenceoflargelanguagemodels,False,catalog_only
R0031,179,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2023,Retrieval-Augmented Generation for Large Language Models: A Survey,https://arxiv.org/abs/2312.10997,,arxiv:2312.10997,retrievalaugmentedgenerationforlargelanguagemodelsasurvey,False,catalog_only
R0032,180,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ICML 2020,REALM: Retrieval-Augmented Language Model Pre-Training,https://arxiv.org/abs/2002.08909,,arxiv:2002.08909,realmretrievalaugmentedlanguagemodelpretraining,False,catalog_only
R0033,181,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2024,RULER: What's the Real Context Size of Your Long-Context Language Models?,https://arxiv.org/abs/2404.06654,,arxiv:2404.06654,rulerwhatstherealcontextsizeofyourlongcontextlanguagemodels,False,catalog_only
R0034,182,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2025,ACON: Optimizing Context Compression for Long-horizon LLM Agents,https://arxiv.org/abs/2510.00615,,arxiv:2510.00615,aconoptimizingcontextcompressionforlonghorizonllmagents,False,catalog_only
R0035,183,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2025,A Survey of Context Engineering for Large Language Models,https://arxiv.org/abs/2507.13334,,arxiv:2507.13334,asurveyofcontextengineeringforlargelanguagemodels,False,catalog_only
R0036,184,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,arXiv 2023,ToolAlpaca: Generalized Tool Learning for Language Models with 3000 Simulated Cases,https://arxiv.org/abs/2306.05301,,arxiv:2306.05301,toolalpacageneralizedtoollearningforlanguagemodelswith3000simulatedcases,False,catalog_only
R0037,185,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,TACL 2022,♫ MuSiQue: Multihop Questions via Single-hop Question Composition,https://arxiv.org/abs/2108.00573,,arxiv:2108.00573,musiquemultihopquestionsviasinglehopquestioncomposition,False,catalog_only
R0038,186,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ACL 2024,∞Bench: Extending Long Context Evaluation Beyond 100K Tokens,https://arxiv.org/abs/2402.13718,,arxiv:2402.13718,benchextendinglongcontextevaluationbeyond100ktokens,False,catalog_only
R0039,190,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,NeurIPS 2023,Reflexion: Language Agents with Verbal Reinforcement Learning,https://arxiv.org/abs/2303.11366,https://github.com/noahshinn/reflexion,arxiv:2303.11366,reflexionlanguageagentswithverbalreinforcementlearning,False,catalog_only
R0040,191,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,NeurIPS 2023,Self-Refine: Iterative Refinement with Self-Feedback,https://arxiv.org/abs/2303.17651,https://github.com/madaan/self-refine,arxiv:2303.17651,selfrefineiterativerefinementwithselffeedback,False,catalog_only
R0041,192,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,ICML 2024,Executable Code Actions Elicit Better LLM Agents,https://arxiv.org/abs/2402.01030,https://github.com/xingyaoww/code-act,arxiv:2402.01030,executablecodeactionselicitbetterllmagents,False,catalog_only
R0042,193,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,ICLR 2024,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,https://arxiv.org/abs/2308.00352,https://github.com/FoundationAgents/MetaGPT,arxiv:2308.00352,metagptmetaprogrammingforamultiagentcollaborativeframework,False,catalog_only
R0043,194,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,COLM 2024,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,https://arxiv.org/abs/2308.08155,https://github.com/microsoft/autogen,arxiv:2308.08155,autogenenablingnextgenllmapplicationsviamultiagentconversation,False,catalog_only
R0044,195,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,ACL 2024,ChatDev: Communicative Agents for Software Development,https://arxiv.org/abs/2307.07924,https://github.com/OpenBMB/ChatDev,arxiv:2307.07924,chatdevcommunicativeagentsforsoftwaredevelopment,False,catalog_only
R0045,196,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2024,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,https://arxiv.org/abs/2411.04468,https://github.com/microsoft/autogen,arxiv:2411.04468,magenticoneageneralistmultiagentsystemforsolvingcomplextasks,False,catalog_only
R0046,197,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,Open standard 2024,Model Context Protocol,https://modelcontextprotocol.io/,https://github.com/modelcontextprotocol,https://modelcontextprotocol.io,modelcontextprotocol,False,catalog_only
R0047,198,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,ICLR 2025,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,https://arxiv.org/abs/2407.16741,https://github.com/All-Hands-AI/OpenHands,arxiv:2407.16741,openhandsanopenplatformforaisoftwaredevelopersasgeneralistagents,False,catalog_only
R0048,199,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,NeurIPS 2024,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,https://arxiv.org/abs/2405.15793,https://github.com/SWE-agent/SWE-agent,arxiv:2405.15793,sweagentagentcomputerinterfacesenableautomatedsoftwareengineering,False,catalog_only
R0049,200,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,ICLR 2026,Darwin Gödel Machine: Open-Ended Evolution of Self-Improving Agents,https://arxiv.org/abs/2505.22954,,arxiv:2505.22954,darwingödelmachineopenendedevolutionofselfimprovingagents,False,catalog_only
R0050,201,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,COLM 2025,Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning,https://arxiv.org/abs/2503.09516,https://github.com/PeterGriffinJin/Search-R1,arxiv:2503.09516,searchr1trainingllmstoreasonandleveragesearchengineswithreinforcementlearning,False,catalog_only
R0051,202,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,Web specification 2025,AGENTS.md,https://agents.md/,,https://agents.md,agentsmd,False,catalog_only
R0052,203,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2024,AutoFlow: Automated Workflow Generation for Large Language Model Agents,https://arxiv.org/abs/2407.12821,,arxiv:2407.12821,autoflowautomatedworkflowgenerationforlargelanguagemodelagents,False,catalog_only
R0053,204,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2026,Agents' Last Exam,https://arxiv.org/abs/2606.05405,,arxiv:2606.05405,agentslastexam,False,catalog_only
R0054,205,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2026,Before the Tool Call: Deterministic Pre-Action Authorization for Autonomous AI Agents,https://arxiv.org/abs/2603.20953,,arxiv:2603.20953,beforethetoolcalldeterministicpreactionauthorizationforautonomousaiagents,False,catalog_only
R0055,206,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2026,Claw-R1: A Step-Level Data Middleware System for Agentic Reinforcement Learning,https://arxiv.org/abs/2606.09138,,arxiv:2606.09138,clawr1astepleveldatamiddlewaresystemforagenticreinforcementlearning,False,catalog_only
R0056,207,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2025,SEW: Self-Evolving Agentic Workflows for Automated Code Generation,https://arxiv.org/abs/2505.18646,,arxiv:2505.18646,sewselfevolvingagenticworkflowsforautomatedcodegeneration,False,catalog_only
R0057,208,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2026,"RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System",https://arxiv.org/abs/2602.02488,,arxiv:2602.02488,rlanythingforgeenvironmentpolicyandrewardmodelincompletelydynamicrlsystem,False,catalog_only
R0058,209,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,FSE 2026,AgentBound: Securing Execution Boundaries of AI Agents,https://arxiv.org/abs/2510.21236,,arxiv:2510.21236,agentboundsecuringexecutionboundariesofaiagents,False,catalog_only
R0059,210,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2025,UI-TARS-2 Technical Report: Advancing GUI Agent with Multi-Turn Reinforcement Learning,https://arxiv.org/abs/2509.02544,,arxiv:2509.02544,uitars2technicalreportadvancingguiagentwithmultiturnreinforcementlearning,False,catalog_only
R0060,211,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,Preprints 2026,"Harness Engineering for Language Agents: The Harness Layer as Control, Agency, and Runtime",https://www.preprints.org/manuscript/202603.1756/v2,,https://www.preprints.org/manuscript/202603.1756/v2,harnessengineeringforlanguageagentstheharnesslayerascontrolagencyandruntime,False,catalog_only
R0061,212,Evolution: From Prompting to Runtime,Stage III — Runtime Harnesses (2025–Present),,arXiv 2026,LongHorizon-Harness: Advancing Long-Horizon Agents for Real-World Tasks,https://arxiv.org/abs/2608.01964,https://github.com/AMAP-ML/LongHorizon-Harness,arxiv:2608.01964,longhorizonharnessadvancinglonghorizonagentsforrealworldtasks,False,catalog_only
R0062,227,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,ICLR 2023,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/abs/2210.03629,https://github.com/ysymyth/ReAct,arxiv:2210.03629,reactsynergizingreasoningandactinginlanguagemodels,False,catalog_only
R0063,228,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,NeurIPS 2023,Reflexion: Language Agents with Verbal Reinforcement Learning,https://arxiv.org/abs/2303.11366,https://github.com/noahshinn/reflexion,arxiv:2303.11366,reflexionlanguageagentswithverbalreinforcementlearning,False,catalog_only
R0064,229,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,NeurIPS 2023,Self-Refine: Iterative Refinement with Self-Feedback,https://arxiv.org/abs/2303.17651,https://github.com/madaan/self-refine,arxiv:2303.17651,selfrefineiterativerefinementwithselffeedback,False,catalog_only
R0065,230,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,ICLR 2024,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",https://arxiv.org/abs/2310.11511,https://github.com/AkariAsai/self-rag,arxiv:2310.11511,selfraglearningtoretrievegenerateandcritiquethroughselfreflection,False,catalog_only
R0066,231,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,TMLR 2024,Cognitive Architectures for Language Agents,https://arxiv.org/abs/2309.02427,https://github.com/ysymyth/awesome-language-agents,arxiv:2309.02427,cognitivearchitecturesforlanguageagents,False,catalog_only
R0067,232,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Linear Workflows,IEEE ICAIBD 2025,A Survey on Agent Workflow - Status and Future,https://arxiv.org/abs/2508.01186,,arxiv:2508.01186,asurveyonagentworkflowstatusandfuture,False,catalog_only
R0068,235,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,ACL 2023,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,https://arxiv.org/abs/2305.04091,https://github.com/AGI-Edgerunners/Plan-and-Solve-Prompting,arxiv:2305.04091,planandsolvepromptingimprovingzeroshotchainofthoughtreasoningbylargelanguagemodels,False,catalog_only
R0069,236,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,arXiv 2023,ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language Models,https://arxiv.org/abs/2305.18323,https://github.com/billxbf/ReWOO,arxiv:2305.18323,rewoodecouplingreasoningfromobservationsforefficientaugmentedlanguagemodels,False,catalog_only
R0070,237,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,Findings of NAACL 2024,ADaPT: As-Needed Decomposition and Planning with Language Models,https://arxiv.org/abs/2311.05772,https://github.com/archiki/ADaPT,arxiv:2311.05772,adaptasneededdecompositionandplanningwithlanguagemodels,False,catalog_only
R0071,238,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,arXiv 2026,O-Researcher: An Open Ended Deep Research Model via Multi-Agent Distillation and Agentic RL,https://arxiv.org/abs/2601.03743,,arxiv:2601.03743,oresearcheranopenendeddeepresearchmodelviamultiagentdistillationandagenticrl,False,catalog_only
R0072,239,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,arXiv 2026,Toward Generalist Autonomous Research via Hypothesis-Tree Refinement,https://arxiv.org/abs/2606.11926,,arxiv:2606.11926,towardgeneralistautonomousresearchviahypothesistreerefinement,False,catalog_only
R0073,240,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Plan-Execute Workflows,arXiv 2026,Verified Multi-Agent Orchestration: A Plan-Execute-Verify-Replan Framework for Complex Query Resolution,https://arxiv.org/abs/2603.11445,,arxiv:2603.11445,verifiedmultiagentorchestrationaplanexecuteverifyreplanframeworkforcomplexqueryresolution,False,catalog_only
R0074,243,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,NeurIPS 2023,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,https://arxiv.org/abs/2305.10601,https://github.com/princeton-nlp/tree-of-thought-llm,arxiv:2305.10601,treeofthoughtsdeliberateproblemsolvingwithlargelanguagemodels,False,catalog_only
R0075,244,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,ICLR 2023,Self-Consistency Improves Chain of Thought Reasoning in Language Models,https://arxiv.org/abs/2203.11171,,arxiv:2203.11171,selfconsistencyimproveschainofthoughtreasoninginlanguagemodels,False,catalog_only
R0076,245,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,ICML 2024,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,https://arxiv.org/abs/2310.04406,https://github.com/lapisrocks/LanguageAgentTreeSearch,arxiv:2310.04406,languageagenttreesearchunifiesreasoningactingandplanninginlanguagemodels,False,catalog_only
R0077,246,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,NAACL 2025,CodeTree: Agent-guided Tree Search for Code Generation with Large Language Models,https://arxiv.org/abs/2411.04329,,arxiv:2411.04329,codetreeagentguidedtreesearchforcodegenerationwithlargelanguagemodels,False,catalog_only
R0078,247,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,AAMAS 2026,ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,https://arxiv.org/abs/2511.02424,,arxiv:2511.02424,reactreehierarchicalllmagenttreeswithcontrolflowforlonghorizontaskplanning,False,catalog_only
R0079,248,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,AAAI 2024,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,https://doi.org/10.1609/AAAI.V38I16.29720,,https://doi.org/10.1609/AAAI.V38I16.29720,graphofthoughtssolvingelaborateproblemswithlargelanguagemodels,False,catalog_only
R0080,249,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,TMLR 2025,Tree Search for Language Model Agents,https://openreview.net/forum?id=QF0N3x2XVm,,https://openreview.net/forum?id=QF0N3x2XVm,treesearchforlanguagemodelagents,False,catalog_only
R0081,250,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,Findings of ACL 2026,Chain-in-Tree: Back to Sequential Reasoning in LLM Tree Search,https://aclanthology.org/2026.findings-acl.214/,,https://aclanthology.org/2026.findings-acl.214,chainintreebacktosequentialreasoninginllmtreesearch,False,catalog_only
R0082,251,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Loops and Workflows,Branching Workflows,arXiv 2025,Sherlock: Reliable and Efficient Agentic Workflow Execution,https://arxiv.org/abs/2511.00330,,arxiv:2511.00330,sherlockreliableandefficientagenticworkflowexecution,False,catalog_only
R0083,256,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Context and Memory,Working Context (discard / compress / select),Anthropic Blog 2025,Effective Context Engineering for AI Agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,effectivecontextengineeringforaiagents,False,catalog_only
R0084,257,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Context and Memory,Working Context (discard / compress / select),arXiv 2025,ReSum: Unlocking Long-Horizon Search Intelligence via Context Summarization,https://arxiv.org/abs/2509.13313,https://github.com/Alibaba-NLP/DeepResearch,arxiv:2509.13313,resumunlockinglonghorizonsearchintelligenceviacontextsummarization,False,catalog_only
R0085,258,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Context and Memory,Working Context (discard / compress / select),ICLR 2026,MemAgent: Reshaping Long-Context LLM with Multi-Conv RL-based Memory Agent,https://arxiv.org/abs/2507.02259,https://github.com/BytedTsinghua-SIA/MemAgent,arxiv:2507.02259,memagentreshapinglongcontextllmwithmulticonvrlbasedmemoryagent,False,catalog_only
R0086,259,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Context and Memory,Working Context (discard / compress / select),ICLR 2026,MEM1: Learning to Synergize Memory and Reasoning for Efficient Long-Horizon Agents,https://arxiv.org/abs/2506.15841,https://github.com/MIT-MI/MEM1,arxiv:2506.15841,mem1learningtosynergizememoryandreasoningforefficientlonghorizonagents,False,catalog_only
R0087,260,Harnesses: Externalizing Long-Horizon Capability (Pillar I),Context and Memory,Working Context (discard / compress / select),ACL 2025,HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model,https://arxiv.org/abs/2408.09559,https://github.com/HiAgent2024/HiAgent,arxiv:2408.09559,hiagenthierarchicalworkingmemorymanagementforsolvinglonghorizonagenttaskswithlargelanguagemodel,False,catalog_only
